Model,Type,All,Adv,Disadv,UGF,Δ%,Nov,Cov,Short,Long,ΔGapA,ΔGapD 
MostPop,Org.,0.0179,0.0423,0.0166,0.0257,0.0,4.4468,1.08,11360.0,0.0,163.794,152.499 
MostPop,Fair,0.0171,0.0261,0.0166,0.0095,63.04,4.4522,4.42,11360.0,0.0,152.237,151.774 
BPR,Org.,0.0144,0.0311,0.0135,0.0176,0.0,4.4783,1.08,11360.0,0.0,157.449,146.507 
BPR,Fair,0.0151,0.0295,0.0144,0.0151,14.2,4.4793,3.34,11360.0,0.0,151.034,146.495 
PF,Org.,0.0108,0.0219,0.0102,0.0117,0.0,5.8712,89.4,5844.0,5516.0,27.599,11.28 
PF,Fair,0.0126,0.0159,0.0125,0.0034,70.94,5.8818,89.79,5790.0,5570.0,34.297,9.768 
WMF,Org.,0.0062,0.0156,0.0056,0.01,0.0,6.6007,97.15,1965.0,9395.0,-33.349,-35.765 
WMF,Fair,0.0083,0.0105,0.0082,0.0023,77.0,6.6464,93.03,1726.0,9634.0,-28.077,-39.166 
NeuMF,Org.,0.0165,0.045,0.0149,0.0301,0.0,4.5143,3.43,11360.0,0.0,151.532,143.291 
NeuMF,Fair,0.0161,0.0282,0.0154,0.0128,57.48,4.5242,4.91,11360.0,0.0,145.193,141.955 
VAECF,Org.,0.0186,0.0514,0.0168,0.0346,0.0,5.134,41.02,9512.0,1848.0,56.005,75.864 
VAECF,Fair,0.0197,0.0411,0.0185,0.0225,34.97,5.1305,40.43,9547.0,1813.0,56.958,75.836 
